age,workclass,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,income,native_country
90,0,9,6,0,1,4,0,0,4356,40,0,39
82,4,9,6,4,1,4,0,0,4356,18,0,39
66,0,10,6,0,4,2,0,0,4356,40,0,39
54,4,4,0,7,4,4,0,0,3900,40,0,39
41,4,10,5,10,3,4,0,0,3900,40,0,39
34,4,9,0,8,4,4,0,0,3770,45,0,39
38,4,6,5,1,4,4,1,0,3770,40,0,39
74,7,16,4,10,2,4,0,0,3683,20,1,39
68,1,9,0,10,1,4,0,0,3683,40,0,39
41,4,10,4,3,4,4,1,0,3004,60,1,0
45,4,16,0,10,4,2,0,0,3004,35,1,39
38,6,15,4,10,1,4,1,0,2824,45,1,39
52,4,13,6,8,1,4,0,0,2824,20,1,39
32,4,14,5,4,1,4,1,0,2824,55,1,39
51,0,16,4,0,1,4,1,0,2824,40,1,39
46,4,15,0,10,1,4,1,0,2824,40,1,39
45,4,7,0,14,1,4,1,0,2824,76,1,39
57,4,14,0,4,1,4,1,0,2824,50,1,39
22,4,12,4,6,1,2,1,0,2824,40,1,0
34,4,13,5,12,1,4,1,0,2824,50,1,39
37,4,13,4,4,1,4,1,0,2824,40,1,39
29,4,7,5,12,1,4,0,0,2754,42,0,39
61,4,9,0,12,4,4,0,0,2754,25,0,39
51,4,10,2,14,0,4,1,0,2603,40,0,39
61,0,9,2,0,0,4,1,0,2603,32,0,39
21,4,11,2,3,0,4,1,0,2603,40,0,39
33,4,2,2,3,1,4,1,0,2603,32,0,26
49,4,3,2,8,0,4,1,0,2603,40,0,12
37,5,6,4,14,1,4,1,0,2559,50,1,39
38,4,6,4,10,1,4,1,0,2559,90,1,39
23,4,10,5,8,1,4,1,0,2559,40,1,39
59,5,6,6,4,4,4,0,0,2559,50,1,39
52,4,15,0,4,1,4,1,0,2559,60,1,39
51,4,13,0,4,1,4,1,0,2559,50,1,39
60,6,9,4,4,1,2,1,0,2559,50,1,39
63,1,16,0,4,1,4,0,0,2559,60,1,39
53,4,9,4,12,1,4,1,0,2559,48,1,39
51,4,15,4,10,1,4,0,0,2559,50,1,39
37,6,16,4,10,1,4,0,0,2559,60,1,39
54,4,14,0,10,1,4,0,0,2559,40,1,39
44,4,13,0,4,4,4,1,0,2547,50,1,39
43,4,14,0,4,4,4,0,0,2547,40,1,39
51,4,10,0,1,4,4,0,0,2547,40,1,39
43,4,14,0,10,4,4,0,0,2547,40,1,39
71,0,9,2,0,0,4,1,0,2489,15,0,39
48,4,13,3,12,4,4,0,0,2472,70,1,39
71,4,9,2,12,0,4,1,0,2467,52,0,39
73,6,9,2,5,0,1,1,0,2457,40,0,40
68,0,10,2,0,5,4,0,0,2457,40,0,39
67,0,10,2,0,0,4,1,0,2457,40,0,39
40,6,15,4,10,1,4,1,0,2444,45,1,39
50,4,9,6,12,1,4,0,0,2444,72,1,39
51,7,11,0,13,1,4,1,0,2444,39,1,39
42,4,10,4,4,1,4,0,0,2444,40,1,39
39,4,14,4,12,1,4,1,0,2444,45,1,39
32,4,13,4,4,2,4,1,0,2444,50,1,39
53,4,10,5,3,1,4,1,0,2444,45,1,39
40,2,10,4,11,1,4,1,0,2444,40,1,39
38,4,13,4,12,1,4,0,0,2444,45,1,39
33,4,11,5,3,1,4,1,0,2444,42,1,39
43,4,12,0,3,1,4,1,0,2444,70,1,39
50,5,7,4,4,2,4,1,0,2444,40,1,39
44,4,10,2,1,5,4,0,0,2415,6,1,39
51,6,13,2,12,0,1,1,0,2415,40,1,3
41,4,15,2,10,0,4,1,0,2415,40,1,39
60,5,11,2,7,0,4,1,0,2415,70,1,0
37,4,14,2,4,0,4,1,0,2415,60,1,39
55,5,15,2,10,0,4,1,0,2415,35,1,12
39,5,13,2,12,0,4,1,0,2415,60,1,39
42,5,15,2,10,0,4,1,0,2415,60,1,39
49,4,13,2,12,0,4,1,0,2415,55,1,39
47,6,9,2,4,0,4,1,0,2415,50,1,39
41,2,15,2,10,0,4,1,0,2415,45,1,39
55,5,13,2,4,0,4,1,0,2415,50,1,39
39,4,14,2,4,5,4,0,0,2415,65,1,39
42,4,13,2,4,0,4,1,0,2415,60,1,39
41,0,11,2,0,0,4,1,0,2415,12,1,39
46,4,14,2,12,0,4,1,0,2415,65,1,39
40,4,14,2,4,0,4,1,0,2415,45,1,39
32,4,13,2,10,0,4,1,0,2415,48,1,39
41,5,10,2,4,0,4,1,0,2415,55,1,39
60,5,15,2,10,0,4,1,0,2415,80,1,39
31,4,14,2,4,0,4,1,0,2415,70,1,36
58,6,10,2,5,0,4,1,0,2415,40,1,39
37,5,13,2,12,0,4,1,0,2415,50,1,39
44,6,13,2,4,0,4,1,0,2415,50,1,39
